Popis trasy,Označení linky,Webový odkaz na jízdní řád Veřejné dopravy Královéhradeckého kraje,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Délka v metrech,ID,Shape__Length
Rokytnice n.Jiz. - Jilemnice - Mostek - Dvůr Králové n.Lab. - Jaroměř - Hradec Králové,IDOL 975,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=975,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI194,100848.977833,168,100848.977833271
Tanvald-Plavy-Zlatá Olešnice-Vysoké n.Jiz.-Jilemnice-Vrchlabí,IDOL 953,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=953,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI190,20125.2216135,169,20125.2216135259
Liberec-Jablonec n.Nisou-Tanvald-Vysoké n.Jiz.-Jilemnice-Vrchlabí-Trutnov,IDOL 955,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=955,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI191,50237.0924055,170,50237.0924054809
Liberec-Jablonec n.Nisou-Jilemnice-Vrchlabí-Špindlerův Mlýn,IDOL 940,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=940,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI187,47571.7757364,171,47571.7757363886
Rokytnice n. Jiz.-Jablonec n. Jiz.-Jilemnice-Martinice v Krk./Vrchlabí,IDOL 941,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=941,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI188,36051.4686826,172,36051.4686826246
Rychnov n.Kněž.-Dlouhá Ves-Roveň-Peklo n.Zdob.-Vamberk-Merklovice a zpět (MHD Rychnov n. Kněž.),665001,http://portal.idos.cz/Search.aspx?c=7&mi=2&find=665001,Královéhradecký kraj,CZ052,ALI173,16108.7065675,173,16108.7065675487
Rychnov n.Kněž.-sídl.Nad Habrovou-Panská Habrová-Lukavice a zpět (MHD Rychnov n. Kněž.),665002,http://portal.idos.cz/Search.aspx?c=7&mi=2&find=665002,Královéhradecký kraj,CZ052,ALI174,12176.764159,174,12176.7641590289
Turnov - Žďár - Sobotka,IDOL 365,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=365,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI184,24992.8788307,175,24992.8788306931
Nový Bydžov-Smidary-Žlunice-Kozojedy-Kopidlno,154,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=154,Královéhradecký kraj,CZ052,ALI18,45300.900723,176,45300.900723029
Rychnov n.Kněž.-Lukavice-Kvasiny,219,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=219,Královéhradecký kraj,CZ052,ALI36,20111.647194,177,20111.6471940261
